1,زیرتربیت,زيرتربیت,NOUN,NNC,,O,
2,پولیس,پولیس,NOUN,NNC,,O,
3,اہلکاروں,اہلكارہ,NOUN,NN,,O,
4,کی,کا,ADP,PSP,,O,
5,تربیت,تربیت,NOUN,NN,,O,
6,میں,میں,ADP,PSP,,O,
7,خامیاں,خامی,NOUN,NN,,O,
8,ہی,بھی,PART,RP,,O,
9,معاشرے,معاشرے,NOUN,NN,,O,
10,میں,میں,ADP,PSP,,O,
11,ہونے,ہو,VERB,VM,,O,
12,والے,والا,ADP,PSP,,O,
13,بھیانک,بھيانک,ADJ,JJ,,O,
14,واقعات,واقع,NOUN,NN,,O,
15,کا,کا,ADP,PSP,,O,
16,ایک,ایک,NUM,QC,,NEN,B
17,سبب,سبب,NOUN,NN,,O,
18,ہیں,ہے,AUX,VM,,O,
1,وقتا,وقتاً,ADV,RB,,O,
2,فوقتا,فوقتاً,ADV,RDP,,O,
3,پاکستان,پاکستان,PROPN,NNP,,NEL,B
4,کی,کا,ADP,PSP,,O,
5,اعلی,اعلیٰ,ADJ,JJ,,O,
6,عدالتوں,عدالت,NOUN,NN,,O,
7,کے,کا,ADP,PSP,,O,
8,معزز,معزز,ADJ,JJ,,O,
9,جج,جج,NOUN,NNC,,O,
10,صاحبان,صاحب,NOUN,NN,,O,
11,بھی,بھی,PART,RP,,O,
12,پولیس,پولیس,NOUN,NN,,O,
13,کے,کے,ADP,PSP,,O,
14,بارے,بارے,ADP,PSP,,O,
15,میں,میں,ADP,PSP,,O,
16,ریمارکس,ریمارکس,NOUN,NN,,O,
17,دیتے,دے,VERB,VM,,O,
18,رہتے,رہ,AUX,VAUX,,O,
19,ہیں,ہے,AUX,VAUX,,O,
1,پولیس,پولیس,NOUN,NN,,O,
2,کا,کا,ADP,PSP,,O,
3,بنیادی,بنیادی,ADJ,JJ,,O,
4,فرض,فرض,NOUN,NN,,O,
5,عوام,عوام,NOUN,NN,,O,
6,کے,کا,ADP,PSP,,O,
7,جان,جان,NOUN,NN,,O,
8,و,و,CCONJ,CC,,O,
9,مال,مال,NOUN,NN,,O,
10,کا,کا,ADP,PSP,,O,
11,تحفظ,تحفظ,NOUN,NN,,O,
12,اور,اور,CCONJ,CC,,O,
13,قانون,قانون,NOUN,NN,,O,
14,کے,کا,ADP,PSP,,O,
15,نفاذ,نفاذ,NOUN,NN,,O,
16,کو,کو,ADP,PSP,,O,
17,یقینی,یقینی,ADJ,JJ,,O,
18,بنانا,بنا,VERB,VM,,O,
19,ہے,ہے,AUX,VAUX,,O,
20,لیکن,لیکن,CCONJ,CC,,O,
21,پاکستان,پاکستان,PROPN,NNP,,NEL,B
22,میں,میں,ADP,PSP,,O,
23,پولیس,پولیس,NOUN,NN,,O,
24,کا,کا,ADP,PSP,,O,
25,رویہ,رویہ,NOUN,NN,,O,
26,عوام,عوام,NOUN,NN,,O,
27,کے,کے,ADP,PSP,,O,
28,ساتھ,ساتھ,ADP,NST,,O,
29,جارحانہ,جارحانہ,ADJ,JJ,,O,
30,ہے,ہے,AUX,VM,,O,
1,یہ,یہ,DET,DEM,,O,
2,کھیل,کھیل,NOUN,NN,,O,
3,متحدہ,متحدہ,PROPN,NNPC,,NEL,B
4,عرب,عرب,PROPN,NNP,,NEL,I
